Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
RoBERTa,Adam,CrossEntropy,0.0001,128,15,"[0.6958154737949371, 0.6923257112503052, 0.6923343762755394, 0.6939958781003952, 0.6946014240384102, 0.6933410614728928, 0.6947427242994308, 0.6923050358891487, 0.6931119933724403, 0.6926381811499596, 0.6931840404868126, 0.693853884935379, 0.6931556984782219, 0.6930305436253548, 0.6927233040332794]","[0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843, 0.5195586760280843, 0.48044132397191575, 0.48044132397191575, 0.48044132397191575, 0.5195586760280843, 0.5195586760280843]",0.5195586760280843,2
RoBERTa,Adam,CrossEntropy,1e-05,128,15,"[0.692854568362236, 0.4087908938527107, 0.3252967484295368, 0.36820145323872566, 0.5124321356415749, 0.6104524917900562, 0.8556918725371361, 0.6655007898807526, 0.6146226078271866, 0.6584439352154732, 0.5931497327983379, 0.7325094863772392, 0.6985016390681267, 0.7371977269649506, 0.5769490040838718]","[0.5215646940822467, 0.79839518555667, 0.8415245737211635, 0.8455366098294884, 0.8455366098294884, 0.8575727181544633, 0.8244734202607823, 0.839518555667001, 0.8615847542627884, 0.8605817452357071, 0.8706118355065195, 0.8665997993981945, 0.8706118355065195, 0.8706118355065195, 0.8645937813440321]",0.8706118355065195,11
