Wall time,Step,Value
1629921735.1221197,51,0.7542356252670288
1629921735.4212818,53,0.7457852363586426
1629921736.844626,62,0.6526570916175842
1629921745.351895,118,0.6933481693267822
1629921745.9565063,122,0.7150048017501831
1629921749.5855362,146,0.7248516082763672
1629921752.0035233,162,0.7652775645256042
1629921752.948711,168,0.6992231011390686
1629921761.2885993,223,0.6984739303588867
1629921763.1163025,235,0.6933462619781494
1629921768.6032689,271,0.8115054368972778
1629921772.1079395,294,0.6866406202316284
1629921773.1685355,301,0.6628755927085876
1629921776.8285573,325,0.7742039561271667
1629921781.1251109,353,0.6697931289672852
1629921784.0173583,372,0.665376603603363
1629921784.3164911,374,0.6813334822654724
1629921788.3370407,400,0.6947236061096191
1629921803.304383,498,0.7058824896812439
1629921807.7110445,527,0.7300555109977722
1629921808.6291325,533,0.7298614978790283
1629921808.7824414,534,0.7544492483139038
1629921811.3670082,551,0.6521711349487305
1629921811.973882,555,0.6834506392478943
1629921813.0404356,562,0.7327159643173218
1629921814.293563,570,0.6775233745574951
1629921816.7862866,586,0.6875384449958801
1629921817.7017813,592,0.7135612368583679
1629921818.4651167,597,0.6871955394744873
1629921822.260671,622,0.7425869703292847
1629921822.5673206,624,0.6933900713920593
1629921824.096089,634,0.7923781275749207
1629921825.7965708,645,0.6713172197341919
1629921828.1183016,660,0.6821773052215576
1629921831.4672575,682,0.7146235108375549
1629921831.7724063,684,0.7598811388015747
1629921833.4633298,695,0.7696403861045837
1629921836.429978,714,0.6404511332511902
1629921840.786699,742,0.6884061694145203
1629921850.4017205,805,0.7319996356964111
1629921851.9052198,815,0.6616191864013672
1629921852.9759762,822,0.7063735127449036
1629921854.970884,835,0.6926457285881042
1629921856.5006735,845,0.7550795674324036
1629921856.8124678,847,0.7179383635520935
1629921858.3442922,857,0.6654974222183228
1629921859.112108,862,0.7276037335395813
1629921861.388885,877,0.6999740600585938
1629921863.2167823,889,0.6928681135177612
1629921863.3726296,890,0.7458135485649109
1629921871.7714493,945,0.7099185585975647
1629921874.0695877,960,0.6624937653541565
1629921874.222252,961,0.8096878528594971
1629921877.7286317,984,0.6901730895042419
1629921879.245131,994,0.7128599882125854
1629921880.3186004,1001,0.649944543838501
1629921880.4677274,1002,0.6998097896575928
1629921884.2161207,1026,0.6623436808586121
1629921884.9847968,1031,0.6200554370880127
1629921885.287216,1033,0.6688660979270935
1629921889.4191108,1060,0.7271398305892944
1629921890.4881523,1067,0.7052373290061951
1629921892.0070574,1077,0.9161021113395691
1629921894.8963373,1096,0.655880868434906
1629921897.4867322,1113,0.7559289932250977
1629921900.5405266,1133,0.7590713500976562
1629921902.5362995,1146,0.7145295739173889
1629921903.4561667,1152,0.700021505355835
1629921905.9011533,1168,0.6470500230789185
1629921906.827325,1174,0.6194701194763184
1629921910.8315833,1200,0.705680787563324
1629921912.056625,1208,0.7065941691398621
1629921913.5757318,1218,0.703325629234314
1629921913.7268436,1219,0.6462117433547974
1629921924.2857122,1256,0.6932282447814941
1629921928.346061,1283,0.6902360320091248
1629921931.3663623,1303,0.6924480199813843
