Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
DistilBert,Adam,CrossEntropy,0.0001,64,15,"[0.6851120069622993, 0.4829435795545578, 0.5250021331012249, 0.5927757062017918, 0.8746074587106705, 0.7403401453047991, 0.926028560847044, 0.9222031459212303, 0.9501365851610899, 0.9742803201079369, 0.844921201467514, 0.8653965871781111, 1.201035302132368, 1.073980737477541, 0.9748014714568853]","[0.5245737211634904, 0.757271815446339, 0.8004012036108324, 0.7703109327983951, 0.7753259779338014, 0.7903711133400201, 0.7632898696088265, 0.769307923771314, 0.7612838515546639, 0.7843530591775326, 0.7763289869608826, 0.7733199598796389, 0.7773319959879639, 0.7783350050150452, 0.7683049147442327]",0.8004012036108324,3
DistilBert,Adam,CrossEntropy,0.0001,128,15,"[0.6920592486858368, 0.6922829747200012, 0.537430576980114, 0.5892643071711063, 0.8298157900571823, 1.0063979178667068, 0.9720602482557297, 1.243224784731865, 1.0204772055149078, 1.1523626819252968, 1.2025625929236412, 1.3762118890881538, 1.525693416595459, 1.4974409937858582, 1.190338484942913]","[0.5205616850551655, 0.5035105315947843, 0.7071213640922769, 0.7432296890672017, 0.7301905717151455, 0.7512537612838516, 0.7562688064192578, 0.7271815446339017, 0.7492477432296891, 0.7462387161484454, 0.7392176529588766, 0.7331995987963892, 0.7592778335005015, 0.7542627883650953, 0.7602808425275828]",0.7602808425275828,15
DistilBert,Adam,CrossEntropy,1e-05,64,15,"[0.6926818899810314, 0.5739219002425671, 0.4279712773859501, 0.482544869184494, 0.6236268896609545, 0.770182516425848, 0.8224191516637802, 0.8794585429131985, 0.9464993886649609, 0.9962667934596539, 1.0413620360195637, 1.0674115866422653, 1.1215573251247406, 1.1490678489208221, 1.1710988730192184]","[0.5235707121364093, 0.6960882647943831, 0.7833500501504513, 0.7963891675025075, 0.8044132397191575, 0.79839518555667, 0.8034102306920762, 0.7953861584754263, 0.802407221664995, 0.8054162487462387, 0.8034102306920762, 0.7993981945837513, 0.79839518555667, 0.8014042126379137, 0.79839518555667]",0.8054162487462387,10
DistilBert,Adam,CrossEntropy,1e-05,128,15,"[0.6947366073727608, 0.6899157762527466, 0.5620597675442696, 0.4684642069041729, 0.48060832917690277, 0.6201779544353485, 0.7574959695339203, 0.8628050312399864, 0.9052297174930573, 0.965876042842865, 1.0203814208507538, 1.098537340760231, 1.0895171090960503, 1.1364670023322105, 1.1733934804797173]","[0.4684052156469408, 0.5396188565697091, 0.6970912738214644, 0.765295887662989, 0.7763289869608826, 0.7753259779338014, 0.7723169508525577, 0.7683049147442327, 0.7733199598796389, 0.7753259779338014, 0.7793380140421263, 0.7713139418254764, 0.7793380140421263, 0.7803410230692076, 0.7813440320962889]",0.7813440320962889,15
