Model,Optimizer,Loss Function,Learning Rate,Batch Size,Test Epoch,Validation Loss,Validation Accuracy,Highest Accuracy,Occurred in which Epoch
Bert-Base-Uncased,Adam,CrossEntropy,0.0001,128,15,"[0.6997224614024162, 0.6492156758904457, 0.42453964427113533, 0.5305153876543045, 0.6410459093749523, 0.7330973744392395, 0.787809707224369, 0.8718904033303261, 0.674797173589468, 0.5805687941610813, 0.8403913155198097, 0.8684538155794144, 0.7709395885467529, 0.9446507468819618, 0.8254972621798515]","[0.48044132397191575, 0.6529588766298897, 0.7853560682046138, 0.8034102306920762, 0.8034102306920762, 0.8194583751253761, 0.8254764292878636, 0.827482447342026, 0.8304914744232698, 0.8284854563691073, 0.8144433299899699, 0.8124373119358074, 0.8174523570712137, 0.8214643931795386, 0.8284854563691073]",0.8304914744232698,9
Bert-Base-Uncased,Adam,CrossEntropy,1e-05,128,15,"[0.693036749958992, 0.6679721474647522, 0.39064084365963936, 0.3953600116074085, 0.4679688662290573, 0.5030789040029049, 0.5397338457405567, 0.5699005499482155, 0.5822687782347202, 0.6249009221792221, 0.6294985413551331, 0.642791148275137, 0.6556175462901592, 0.6803274191915989, 0.6867050305008888]","[0.5255767301905717, 0.6078234704112337, 0.8154463390170511, 0.8365095285857572, 0.8405215646940822, 0.8324974924774323, 0.8485456369107321, 0.847542627883651, 0.8465396188565697, 0.8385155466399198, 0.8505516549648947, 0.8495486459378134, 0.847542627883651, 0.8455366098294884, 0.8465396188565697]",0.8505516549648947,11
